R,G,B,Label
25.5964,52.9909,25.4195,0
32.4779,49.1968,34.699,0
25.5716,68.7913,46.9955,0
21.5962,55.5844,38.0017,0
24.1057,77.9021,63.3634,0
19.8218,27.6207,7.9322,0
32.0454,58.589,39.8078,0
30.305,46.5773,20.8195,0
20.1684,25.1044,6.3632,0
18.3498,23.856,3.0707,0
20.8006,29.3929,5.9754,0
19.9844,27.7152,8.6349,0
29.2921,70.0411,53.7994,0
22.3729,56.8192,41.6467,0
28.3652,73.48,59.4825,0
19.0482,41.2666,23.192,0
30.9094,92.4115,78.944,0
24.5696,55.6169,37.1748,0
21.521,32.3041,15.1789,0
29.5504,94.5836,102.761,0
34.3549,99.7758,113.8279,0
27.8079,37.2867,13.3029,0
21.6782,23.6843,4.1541,0
28.0431,25.5425,5.4419,0
26.4953,24.585,7.1969,0
31.7258,50.9596,24.6732,0
30.8066,46.1519,22.7132,0
40.3207,109.2678,98.6319,0
35.6024,72.4102,49.4108,0
34.3077,50.4451,23.3258,0
33.9575,61.1673,35.1614,0
32.3237,56.4066,36.3078,0
40.2367,81.5059,63.9504,0
28.1131,39.523,17.2507,0
19.4182,21.6685,3.594,0
25.275,41.6298,18.0048,0
25.3573,45.1988,23.8878,0
18.6452,20.1905,3.3483,0
28.7303,41.0679,18.1614,0
37.226,73.2628,52.3813,0
24.9527,69.5397,47.2667,0
23.9402,56.6058,38.572,0
29.7945,73.9405,59.8176,0
27.4461,69.1721,49.663,0
21.1678,39.6756,18.3454,0
